57.50	80	116
57.40	83	103
57.40	72	106
57.52	74	104
57.40	69	106
57.38	70	116
57.40	68	112
57.38	64	112
57.38	65	123
57.50	69	116
57.40	61	120
57.38	60	128
57.56	68	128
57.40	72	118
57.38	72	127
57.34	85	120
57.40	85	119
57.50	85	116

Data Set #32
57.08	84	112
57.38	80	119
57.44	88	116
57.52	88	123
57.38	80	114
57.38	84	117
57.38	82	123
57.38	73	117
57.44	85	114
57.38	81	120
57.38	80	117
57.50	87	117
57.38	85	104
57.50	80	102
57.38	68	107
57.34	71	120
57.38	72	118
57.40	62	116
57.34	66	115
57.38	69	116

Data Set #33
57.20	59	121
57.40	65	120
57.38	64	112
57.44	63	128
57.40	55	120
57.46	73	123
57.38	76	107
57.38	80	106
57.38	84	117
57.38	89	121
57.34	86	120
57.40	86	112
57.38	87	112
57.34	80	114
57.38	88	112
57.40	92	116
57.50	84	115
57.50	80	114
57.38	80	116
Not a valid command

Data Set #34
62.08	74	112
62.38	80	112
62.38	70	103
62.38	68	108
62.38	64	107
62.38	76	92
62.38	74	97
62.38	73	98
62.38	52	112
62.42	52	112
62.36	45	113
62.36	63	121
62.36	59	104
62.26	68	98
62.42	73	97
62.38	75	94
62.42	64	98
62.38	65	97
62.38	60	103
62.38	64	115

Data Set #35
62.12	80	106
62.38	74	102
62.38	68	102
62.38	72	96
62.26	79	96
62.38	74	96
62.38	72	109
62.38	68	112
62.42	55	112
62.42	60	121
62.38	64	112
62.38	74	106
62.38	68	107
62.38	69	96
62.26	69	112
62.38	73	112
62.38	73	98
62.24	80	98
62.42	68	98
62.42	68	92

Data Set #36
62.08	70	114
62.38	68	112
62.38	74	104
62.36	80	100
62.26	78	104
62.38	73	116
62.38	75	107
62.42	80	102
62.38	80	93
62.38	74	96
62.38	77	111
62.38	64	116
62.36	65	115
62.38	68	113
62.42	80	108
62.36	84	108
62.38	85	107
62.24	80	99
62.38	84	112
62.42	87	112

Data Set #37
66.86	76	103
67.34	67	101
67.36	68	97
67.40	73	84
67.40	64	90
67.40	65	94
67.40	56	96
67.24	54	98
67.36	50	102
67.42	55	112
67.40	57	108
67.40	56	109
67.40	60	98
67.40	68	98
67.40	64	98
67.40	64	107
67.42	68	108
67.36	68	105
67.28	73	98
67.28	84	98

Data Set #38
66.88	64	98
67.30	67	96
67.40	65	100
67.40	64	95
67.40	71	95
67.24	70	89
67.28	69	97
67.36	64	97
67.42	64	107
67.42	48	114
67.28	60	103
67.28	64	102
67.36	80	92
67.40	84	104
67.40	81	101
67.40	76	102
67.40	84	112
67.40	80	97
67.36	80	97
67.28	80	104

Data Set #39
67.00	72	101
67.40	76	94
67.36	74	94
67.40	73	94
67.28	78	104
67.36	74	107
67.40	52	112
67.42	54	110
67.24	72	102
67.42	72	103
67.36	64	98
67.42	75	98
67.28	80	98
67.28	80	96
67.40	68	97
67.40	65	93
67.36	65	93
67.40	67	104
67.22	60	102
67.42	60	107

Data Set #40
72.14	40	108
72.52	56	106
72.44	73	104
72.56	73	71
72.40	60	80
72.44	56	79
72.44	58	111
72.56	64	97
72.44	55	98
72.58	55	112
72.52	55	104
72.56	55	103
72.40	64	128
72.44	56	107
72.56	64	101
72.46	68	100
72.40	64	88
72.52	71	94
72.44	70	84
72.52	70	88

Data Set #41
72.14	72	102
72.44	70	102
72.56	81	97
72.40	74	91
72.44	73	106
72.58	76	104
72.40	80	99
72.56	80	109
72.40	80	94
72.52	86	96
72.56	71	104
72.56	69	97
72.44	65	96
72.40	68	94
72.56	70	84
72.56	78	85
72.40	62	88
72.44	64	117
72.56	50	96
72.40	60	104

Data Set #42
72.14	64	99
72.58	73	97
72.40	90	103
72.58	88	110
72.40	65	102
72.56	69	103
72.44	72	93
72.56	64	96
72.52	44	97
72.44	49	98
72.44	45	98
72.44	52	100
72.44	47	99
72.40	44	88
72.58	62	85
72.44	60	104
72.56	60	113
72.40	51	98
72.44	48	99
72.52	64	112

Data Set #43
143.66	2	106
144.28	7	114
144.16	4	100
144.32	7	89
144.28	4	83
144.16	8	98
144.32	1	112
145.34	4	102
145.30	6	109
145.34	5	108
145.30	4	104
144.32	8	113
144.34	8	106
144.34	6	112
144.28	0	117
144.34	7	112
144.32	4	116
144.34	4	126
144.32	3	112
144.32	5	104

Data Set #44
143.66	4	117
144.32	9	120
144.34	7	128
144.34	6	119
144.20	5	114
144.32	9	107
144.34	4	103
145.30	4	103
145.34	7	96
145.34	0	92
145.34	5	102
145.34	11	113
144.32	11	107
144.32	7	112
144.32	7	106
144.28	6	109
144.32	0	109
144.34	7	104
144.32	4	102
144.28	4	112

Data Set #45
87.82	12	107
90.62	8	113
93.52	8	112
98.48	8	107
98.60	3	114
144.34	4	113
99.52	6	107
100.52	7	108
99.68	10	112
100.48	14	118
101.50	4	116
104.50	8	126
104.50	13	112
112.52	10	104
104.50	9	103
103.52	8	103
100.48	8	102
100.48	0	99
120.40	12	86
101.50	13	82
